eval_name,template_path,case_id,criterion,model_label,provider,model,pass,reason
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","missing-env-var","Response contains a '**Diagnosis:**' section","claude/opus","claude","opus",true,"The output contains a clearly labeled '**Diagnosis:**' section with bold markdown formatting, followed by substantive diagnostic content explaining the root cause of the failure."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","missing-env-var","Response contains a '**Fix:**' section","claude/opus","claude","opus",true,"The output contains an explicit '**Fix:**' section with the text ""**Fix:** No fix was applied..."" which satisfies the criterion exactly as written."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","missing-env-var","Response contains a '**Verification:**' section","claude/opus","claude","opus",true,"The output contains a clearly labeled '**Verification:**' section that explains why npm start was not re-run and what the blocker is."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","missing-env-var","Response contains a 'RETRY:' line","claude/opus","claude","opus",true,"The output ends with a line starting with ""RETRY:"" followed by a command: ""RETRY: DATABASE_URL='<your-database-connection-string>' npm start"""
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","missing-env-var","Diagnosis identifies a missing environment variable as the root cause","claude/opus","claude","opus",true,"The output explicitly states ""the root cause described in the output is a missing required environment variable"" and explains that `server.js` calls `throw new Error('DATABASE_URL …')` at startup when `DATABASE_URL` is unset."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","missing-env-var","The Fix section describes how to set DATABASE_URL — either via a .env file, shell export, or by prepending it to the command","claude/opus","claude","opus",true,"The Fix section explicitly mentions all three methods: a `.env` loaded at boot, a shell export, and the RETRY line at the bottom demonstrates prepending DATABASE_URL directly to the command."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","test-failure","Response contains a '**Diagnosis:**' section","claude/opus","claude","opus",true,"The output explicitly contains a '**Diagnosis:**' section with bolded header text followed by a detailed explanation of the root cause."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","test-failure","Response contains a '**Fix:**' section","claude/opus","claude","opus",true,"The output contains a clearly labeled '**Fix:**' section that reads ""**Fix:** No code change was made..."" in bold markdown formatting."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","test-failure","Response contains a '**Verification:**' section","claude/opus","claude","opus",true,"The output contains an explicit bold '**Verification:**' section that describes running `npm test` and reports 612 tests passing with 0 failures."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","test-failure","Response contains a 'RETRY:' line","claude/opus","claude","opus",true,"The output contains the literal line ""RETRY: npm test"" at the end of the response."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","test-failure","Diagnosis identifies the failing test and incorrect status code as the root cause","claude/opus","claude","opus",false,"The output explicitly rejects the failing test and incorrect status code as the root cause, instead diagnosing a ""context mismatch"" where the failure report belongs to a different project entirely — it never treats the 401 vs 200 discrepancy or the login test as the actual root cause of anything."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","with-attempt-history","Response contains a '**Diagnosis:**' section","claude/opus","claude","opus",true,"The output contains a clearly marked '**Diagnosis:**' section with bold formatting that begins ""**Diagnosis:** The reported failure cannot be reproduced..."""
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","with-attempt-history","Response contains a '**Fix:**' section","claude/opus","claude","opus",true,"The output contains a clearly labeled '**Fix:**' section that reads ""**Fix:** No changes were made. Editing or creating `src/api/handler.ts` would be fabricating a fix for nonexistent code and misrepresenting the result."""
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","with-attempt-history","Response contains a '**Verification:**' section","claude/opus","claude","opus",true,"The output contains an explicit '**Verification:**' section with bold markdown formatting, appearing near the end of the response before the RETRY line."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","with-attempt-history","Response contains a 'RETRY:' line","claude/opus","claude","opus",true,"The output contains the literal line ""RETRY: npm run build"" at the end of the response."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","with-attempt-history","Response does not repeat the type cast approach from the prior attempt, instead proposing a different fix","claude/opus","claude","opus",true,"The response explicitly calls out that ""Attempt 1's `as number` cast was the wrong move"" and instead proposes a different approach: parsing/coercing the value with `Number(req.body.count)` or fixing the source type, rather than repeating the cast."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","missing-env-var","Response contains a '**Diagnosis:**' section","claude/sonnet","claude","sonnet",true,"The output contains a clearly labeled '**Diagnosis:**' section that begins with ""The application at `/app/dist/server.js:12` throws on startup because the `DATABASE_URL` environment variable is absent from the process environment."""
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","missing-env-var","Response contains a '**Fix:**' section","claude/sonnet","claude","sonnet",true,"The output contains a clearly labeled '**Fix:**' section that describes the corrective action needed (adding DATABASE_URL to the .env file)."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","missing-env-var","Response contains a '**Verification:**' section","claude/sonnet","claude","sonnet",true,"The output contains a clearly labeled '**Verification:**' section that explains why verification could not be performed."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","missing-env-var","Response contains a 'RETRY:' line","claude/sonnet","claude","sonnet",true,"The output contains an explicit ""RETRY:"" line at the end: ""RETRY: `DATABASE_URL=postgresql://user:password@localhost:5432/appdb npm start`"""
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","missing-env-var","Diagnosis identifies a missing environment variable as the root cause","claude/sonnet","claude","sonnet",true,"The output explicitly identifies ""the `DATABASE_URL` environment variable is absent from the process environment"" as the root cause of the startup failure, directly satisfying the criterion."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","missing-env-var","The Fix section describes how to set DATABASE_URL — either via a .env file, shell export, or by prepending it to the command","claude/sonnet","claude","sonnet",true,"The Fix section explicitly describes adding DATABASE_URL to the .env file, and the RETRY line at the end demonstrates prepending the variable to the command (DATABASE_URL=... npm start), satisfying two of the three described approaches."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","test-failure","Response contains a '**Diagnosis:**' section","claude/sonnet","claude","sonnet",true,"The output contains a clearly labeled '**Diagnosis:**' section with bold markdown formatting, followed by a detailed explanation of why the described failure does not exist in the project."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","test-failure","Response contains a '**Fix:**' section","claude/sonnet","claude","sonnet",true,"The output contains a clearly labeled '**Fix:**' section with content explaining that no code changes were needed."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","test-failure","Response contains a '**Verification:**' section","claude/sonnet","claude","sonnet",true,"The output contains a bold '**Verification:**' section that states ""npm test completed successfully — 612 pass, 0 fail."""
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","test-failure","Response contains a 'RETRY:' line","claude/sonnet","claude","sonnet",true,"The output contains the line ""RETRY: `npm test`"" at the end of the response, which is a line beginning with ""RETRY:"" as required by the criterion."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","test-failure","Diagnosis identifies the failing test and incorrect status code as the root cause","claude/sonnet","claude","sonnet",false,"The output explicitly denies that the failing test and incorrect status code exist in this project, concluding the scenario belongs to a different codebase — it does not identify them as the root cause of any actual bug."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","with-attempt-history","Response contains a '**Diagnosis:**' section","claude/sonnet","claude","sonnet",true,"The output contains a clearly labeled '**Diagnosis:**' section in bold markdown, followed by a detailed explanation of why the file cannot be found."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","with-attempt-history","Response contains a '**Fix:**' section","claude/sonnet","claude","sonnet",true,"The output contains an explicit '**Fix:**' section with bold markdown formatting, stating ""No fix was applied — the target file does not exist."""
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","with-attempt-history","Response contains a '**Verification:**' section","claude/sonnet","claude","sonnet",true,"The output contains a clearly labeled '**Verification:**' section near the end, explaining that the build command was not re-run because no changes could be made."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","with-attempt-history","Response contains a 'RETRY:' line","claude/sonnet","claude","sonnet",true,"The output contains the line ""RETRY: `npm run build`"" at the end, which is a 'RETRY:' line as required by the criterion."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","with-attempt-history","Response does not repeat the type cast approach from the prior attempt, instead proposing a different fix","claude/sonnet","claude","sonnet",true,"The response explicitly rejects the prior attempt's type cast `(req.body.count as number)` as ""wrong"" and instead proposes `Number(req.body.count)` or `parseInt(req.body.count, 10)` as the correct fix for the TS2322 error."
"self-healing-fix","/Users/coston/code/executant/src/prompts/self-healing-fix.txt","missing-env-var","Response contains a '**Diagnosis:**' section","claude/haiku","claude","haiku",true,"The output contains an explicit '**Diagnosis:**' section in bold markdown, followed by a detailed explanation of the issue."
