eval_name,template_path,case_id,criterion,model_label,provider,model,pass,reason,duration_ms
"plan-judge","/Users/coston/code/executant/src/prompts/plan-judge.txt","valid-workflow","Output is valid JSON with 'pass' and 'feedback' fields","claude/opus","claude","opus",true,"The output is valid JSON containing exactly the required 'pass' (boolean true) and 'feedback' (empty string) fields.",18558
"plan-judge","/Users/coston/code/executant/src/prompts/plan-judge.txt","valid-workflow","The first character of the output is '{'","claude/opus","claude","opus",true,"The output starts with the character '{' as the very first character of the string.",18558
"plan-judge","/Users/coston/code/executant/src/prompts/plan-judge.txt","valid-workflow","The 'pass' field is true — workflow has verification steps, uses vars, and has atomic steps","claude/opus","claude","opus",true,"The output contains `""pass"": true`, which directly satisfies the criterion that the 'pass' field is true.",18558
"plan-judge","/Users/coston/code/executant/src/prompts/plan-judge.txt","valid-workflow","The 'feedback' field is an empty string","claude/opus","claude","opus",true,"The 'feedback' field in the output is an empty string """".",18558
"plan-judge","/Users/coston/code/executant/src/prompts/plan-judge.txt","missing-verification","Output is valid JSON with 'pass' and 'feedback' fields","claude/opus","claude","opus",true,"The output is valid JSON containing both required fields: ""pass"" (boolean false) and ""feedback"" (a non-empty string explaining the failure).",16063
"plan-judge","/Users/coston/code/executant/src/prompts/plan-judge.txt","missing-verification","The first character of the output is '{'","claude/opus","claude","opus",true,"The output string begins with the character '{', which is the opening brace of a JSON object.",16063
"plan-judge","/Users/coston/code/executant/src/prompts/plan-judge.txt","missing-verification","The 'pass' field is false — no lint, test, or build step is present","claude/opus","claude","opus",true,"The output's 'pass' field is explicitly set to false, and the feedback confirms the absence of lint, test, or build steps, satisfying the criterion exactly.",16063
"plan-judge","/Users/coston/code/executant/src/prompts/plan-judge.txt","missing-verification","The 'feedback' field contains at least one of the words 'lint', 'test', or 'build'","claude/opus","claude","opus",true,"The 'feedback' field contains all three words: 'lint' (""npm run lint""), 'test' (""npm test""), and 'build' (""npm run build"") within the verification command example.",16063
"plan-judge","/Users/coston/code/executant/src/prompts/plan-judge.txt","repeat-misuse","Output is valid JSON with 'pass' and 'feedback' fields","claude/opus","claude","opus",true,"The output is valid JSON containing both required fields: ""pass"" (boolean false) and ""feedback"" (a non-empty string explaining the failure).",13775
"plan-judge","/Users/coston/code/executant/src/prompts/plan-judge.txt","repeat-misuse","The first character of the output is '{'","claude/opus","claude","opus",true,"The output string begins with the '{' character, which is the opening brace of the JSON object.",13775
