eval_name,template_path,case_id,criterion,model_label,provider,model,pass,reason
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","constrained-function-signature","Function is named exactly `parseCsvRow` (not `parseCsv`, `parseRow`, or any other name)","claude/opus","claude","opus",true,"The function is declared with the exact name `parseCsvRow` on the first line: `export function parseCsvRow(line: string): string[]`."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","constrained-function-signature","Function has exactly one parameter named `line` of type `string` with explicit return type `string[]`","claude/opus","claude","opus",true,"The function signature `parseCsvRow(line: string): string[]` has exactly one parameter named `line` of type `string` with an explicit return type of `string[]`."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","constrained-function-signature","The implementation handles quoted fields containing commas — a field wrapped in double quotes is returned as a single element with the surrounding quotes removed","claude/opus","claude","opus",true,"When a `""` is encountered outside quotes, `inQuotes` is set to `true` without adding the quote character to `field`; subsequent commas are appended to `field` instead of acting as delimiters; the closing `""` sets `inQuotes = false` without adding the quote to `field` — so `""hello,world""` correctly yields the single element `hello,world` with quotes stripped and the comma preserved."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","constrained-function-signature","The implementation handles escaped double quotes (two consecutive `""""` inside a quoted field collapse to a single `""` in the output)","claude/opus","claude","opus",true,"When inside quotes and a `""` is found, the code checks if the next character is also `""`, and if so appends a single `""` to the field and increments `i` to skip the second quote, correctly collapsing `""""` to `""`."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","constrained-function-signature","Empty string input returns an empty array `[]` — not `['']`","claude/opus","claude","opus",true,"The function has an explicit early return `if (line === '') return [];` that returns an empty array when given an empty string input, not `['']`."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","constrained-function-signature","Function is exported as a named export — no default export and no class wrapper","claude/opus","claude","opus",true,"The function is declared with `export function parseCsvRow`, making it a named export, with no `export default` statement and no class wrapper present."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","structured-output-format","Output is valid JSON — parseable without error","claude/opus","claude","opus",true,"The output is a well-formed JSON object with a ""statusRanges"" array containing five objects, each with ""code"", ""label"", and ""description"" fields, and no syntax errors."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","structured-output-format","Top-level key is exactly `statusRanges` (not `status_ranges`, `ranges`, or any other name)","claude/opus","claude","opus",true,"The top-level key in the JSON object is exactly `statusRanges`, matching the required name precisely."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","structured-output-format","Array contains exactly 5 objects, ordered with `code` values 1, 2, 3, 4, 5 in ascending order","claude/opus","claude","opus",true,"The statusRanges array contains exactly 5 objects with code values 1, 2, 3, 4, and 5 in ascending order."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","structured-output-format","Each object has exactly three keys: `code` (number), `label` (string), `description` (string) — no additional keys present","claude/opus","claude","opus",true,"Every object in the statusRanges array contains exactly the three keys ""code"" (number), ""label"" (string), and ""description"" (string), with no additional keys present in any of the five objects."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","structured-output-format","`label` values are exactly: `Informational`, `Success`, `Redirection`, `Client Error`, `Server Error` — no abbreviations or alternate casing","claude/opus","claude","opus",true,"All five label values are exactly ""Informational"", ""Success"", ""Redirection"", ""Client Error"", and ""Server Error"" with correct casing and no abbreviations."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","structured-output-format","Output contains no markdown code fences, no prose before the JSON, and no text after the closing `}`","claude/opus","claude","opus",true,"The output is a raw JSON object with no markdown code fences, no prose before the opening `{`, and no text after the closing `}`."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","refactoring-with-constraints","Response defines a `User` interface with fields `id: string`, `name: string`, `email: string`, and `role: 'admin' | 'user'`","claude/opus","claude","opus",true,"The output defines a `User` interface with all four required fields: `id: string`, `name: string`, `email: string`, and `role: 'admin' | 'user'`, matching the criterion exactly."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","refactoring-with-constraints","`getUser` function has return type `User | null` — not `any`, not `object`, not an untyped return","claude/opus","claude","opus",true,"The `getUser` function explicitly declares its return type as `User | null` on line 13, satisfying the criterion exactly."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","refactoring-with-constraints","`updateUser` accepts a second parameter typed as `Partial<Omit<User, 'id'>>` or equivalent — not `any` or `object`","claude/opus","claude","opus",true,"The `updateUser` function's second parameter `data` is typed as `Partial<Omit<User, 'id'>>`, which exactly matches the criterion and is neither `any` nor `object`."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","refactoring-with-constraints","`deleteUser` has an explicit `void` return type annotation","claude/opus","claude","opus",true,"The `deleteUser` function signature explicitly declares `: void` as its return type annotation on the same line as its parameters."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","refactoring-with-constraints","Response contains no `console.log` calls","claude/opus","claude","opus",true,"The output contains no `console.log` calls; it only defines an interface, a constant, and three exported functions without any logging statements."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","refactoring-with-constraints","All three function names are preserved exactly: `getUser`, `updateUser`, `deleteUser` — none renamed","claude/opus","claude","opus",true,"All three function names appear exactly as specified: `getUser` on line 13, `updateUser` on line 17, and `deleteUser` on line 26 — none were renamed or modified."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","refactoring-with-constraints","Response contains no markdown code fences wrapping the TypeScript source","claude/opus","claude","opus",true,"The output contains raw TypeScript source code with no markdown code fences (no ``` or ~~~) wrapping it."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","constrained-function-signature","Function is named exactly `parseCsvRow` (not `parseCsv`, `parseRow`, or any other name)","claude/sonnet","claude","sonnet",true,"The function is declared as `export function parseCsvRow(line: string): string[]`, using exactly the name `parseCsvRow`."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","constrained-function-signature","Function has exactly one parameter named `line` of type `string` with explicit return type `string[]`","claude/sonnet","claude","sonnet",true,"The function signature `parseCsvRow(line: string): string[]` has exactly one parameter named `line` of type `string` and an explicit return type of `string[]`."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","constrained-function-signature","The implementation handles quoted fields containing commas — a field wrapped in double quotes is returned as a single element with the surrounding quotes removed","claude/sonnet","claude","sonnet",true,"When the parser encounters an opening quote, it skips it and reads all subsequent characters (including commas) into the field string until it hits a closing quote — so `""hello, world""` would yield a single element `hello, world` with no surrounding quotes."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","constrained-function-signature","The implementation handles escaped double quotes (two consecutive `""""` inside a quoted field collapse to a single `""` in the output)","claude/sonnet","claude","sonnet",true,"The code explicitly handles consecutive double quotes with `if (line[i] === '""' && line[i + 1] === '""') { field += '""'; i += 2; }`, which appends a single `""` and advances past both quote characters."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","constrained-function-signature","Empty string input returns an empty array `[]` — not `['']`","claude/sonnet","claude","sonnet",true,"The function explicitly checks `if (line === """") return [];` as its first statement, returning an empty array for empty string input."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","constrained-function-signature","Function is exported as a named export — no default export and no class wrapper","claude/sonnet","claude","sonnet",true,"The function is declared with `export function parseCsvRow(...)`, which is a named export with no default export keyword and no class wrapper anywhere in the code."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","structured-output-format","Output is valid JSON — parseable without error","claude/sonnet","claude","sonnet",true,"The output is a well-formed JSON object with a ""statusRanges"" array containing five objects, each with ""code"", ""label"", and ""description"" fields, all properly quoted and structured."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","structured-output-format","Top-level key is exactly `statusRanges` (not `status_ranges`, `ranges`, or any other name)","claude/sonnet","claude","sonnet",true,"The top-level key in the JSON object is exactly `statusRanges`, matching the required name precisely."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","structured-output-format","Array contains exactly 5 objects, ordered with `code` values 1, 2, 3, 4, 5 in ascending order","claude/sonnet","claude","sonnet",true,"The array contains exactly 5 objects with code values 1, 2, 3, 4, and 5 in ascending order."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","structured-output-format","Each object has exactly three keys: `code` (number), `label` (string), `description` (string) — no additional keys present","claude/sonnet","claude","sonnet",true,"Each of the 5 objects in the statusRanges array contains exactly the keys ""code"" (number), ""label"" (string), and ""description"" (string) with no additional keys."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","structured-output-format","`label` values are exactly: `Informational`, `Success`, `Redirection`, `Client Error`, `Server Error` — no abbreviations or alternate casing","claude/sonnet","claude","sonnet",true,"All five label values are exactly ""Informational"", ""Success"", ""Redirection"", ""Client Error"", and ""Server Error"" with correct casing and no abbreviations."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","structured-output-format","Output contains no markdown code fences, no prose before the JSON, and no text after the closing `}`","claude/sonnet","claude","sonnet",true,"The output is raw JSON with no markdown code fences, no prose before the opening `{`, and no text after the closing `}`."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","refactoring-with-constraints","Response defines a `User` interface with fields `id: string`, `name: string`, `email: string`, and `role: 'admin' | 'user'`","claude/sonnet","claude","sonnet",true,"The output defines a `User` interface with exactly the four required fields: `id: string`, `name: string`, `email: string`, and `role: 'admin' | 'user'`."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","refactoring-with-constraints","`getUser` function has return type `User | null` — not `any`, not `object`, not an untyped return","claude/sonnet","claude","sonnet",true,"The `getUser` function explicitly declares its return type as `User | null` on line 14, satisfying the criterion exactly."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","refactoring-with-constraints","`updateUser` accepts a second parameter typed as `Partial<Omit<User, 'id'>>` or equivalent — not `any` or `object`","claude/sonnet","claude","sonnet",true,"The `updateUser` function's second parameter `data` is explicitly typed as `Partial<Omit<User, 'id'>>`, exactly matching the required type."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","refactoring-with-constraints","`deleteUser` has an explicit `void` return type annotation","claude/sonnet","claude","sonnet",true,"The `deleteUser` function signature explicitly declares `: void` as its return type annotation: `export function deleteUser(id: string): void`."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","refactoring-with-constraints","Response contains no `console.log` calls","claude/sonnet","claude","sonnet",true,"The output contains no `console.log` calls anywhere in the code — only an interface definition, a data object, and three functions (getUser, updateUser, deleteUser)."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","refactoring-with-constraints","All three function names are preserved exactly: `getUser`, `updateUser`, `deleteUser` — none renamed","claude/sonnet","claude","sonnet",true,"All three functions appear with their exact names: `getUser` on line 13, `updateUser` on line 18, and `deleteUser` on line 24 — none have been renamed."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","refactoring-with-constraints","Response contains no markdown code fences wrapping the TypeScript source","claude/sonnet","claude","sonnet",true,"The output contains raw TypeScript source code with no markdown code fences (no ``` or ~~~) wrapping it."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","constrained-function-signature","Function is named exactly `parseCsvRow` (not `parseCsv`, `parseRow`, or any other name)","claude/haiku","claude","haiku",true,"The function is declared with the exact name `parseCsvRow` on the line `export function parseCsvRow(line: string): string[]`."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","constrained-function-signature","Function has exactly one parameter named `line` of type `string` with explicit return type `string[]`","claude/haiku","claude","haiku",true,"The function signature `parseCsvRow(line: string): string[]` has exactly one parameter named `line` of type `string` and an explicit return type of `string[]`."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","constrained-function-signature","The implementation handles quoted fields containing commas — a field wrapped in double quotes is returned as a single element with the surrounding quotes removed","claude/haiku","claude","haiku",true,"When a `""` is encountered, it toggles `inQuotes` without adding the quote character to `currentField`, and commas are only treated as delimiters when `inQuotes` is false — so `""hello, world""` is correctly parsed as a single element `hello, world` with quotes stripped."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","constrained-function-signature","The implementation handles escaped double quotes (two consecutive `""""` inside a quoted field collapse to a single `""` in the output)","claude/haiku","claude","haiku",true,"When inside a quoted field and two consecutive `""` are encountered, the code appends a single `""` to `currentField` and increments `i` to skip the second quote, correctly collapsing `""""` into a single `""` in the output."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","constrained-function-signature","Empty string input returns an empty array `[]` — not `['']`","claude/haiku","claude","haiku",true,"The function has an explicit early return `if (line === '') return [];` on the first line, ensuring empty string input returns `[]` instead of `['']`."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","constrained-function-signature","Function is exported as a named export — no default export and no class wrapper","claude/haiku","claude","haiku",true,"The function is declared with `export function parseCsvRow`, making it a named export with no default export keyword and no class wrapper present."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","structured-output-format","Output is valid JSON — parseable without error","claude/haiku","claude","haiku",true,"The output contains valid, well-formed JSON inside a markdown code fence; the JSON object with a ""statusRanges"" array and its nested objects is syntactically correct and parseable without error once the markdown fencing is stripped."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","structured-output-format","Top-level key is exactly `statusRanges` (not `status_ranges`, `ranges`, or any other name)","claude/haiku","claude","haiku",true,"The top-level key in the JSON object is exactly `statusRanges`, matching the criterion precisely."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","structured-output-format","Array contains exactly 5 objects, ordered with `code` values 1, 2, 3, 4, 5 in ascending order","claude/haiku","claude","haiku",true,"The array contains exactly 5 objects with code values 1, 2, 3, 4, and 5 in strictly ascending order."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","structured-output-format","Each object has exactly three keys: `code` (number), `label` (string), `description` (string) — no additional keys present","claude/haiku","claude","haiku",true,"All five objects contain exactly the three required keys — `code` (number), `label` (string), `description` (string) — with no additional keys present in any object."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","structured-output-format","`label` values are exactly: `Informational`, `Success`, `Redirection`, `Client Error`, `Server Error` — no abbreviations or alternate casing","claude/haiku","claude","haiku",true,"All five label values exactly match the required strings: ""Informational"", ""Success"", ""Redirection"", ""Client Error"", and ""Server Error"" with correct casing and no abbreviations."
"instruction-following-precision","/Users/coston/code/executant/src/prompts/eval-instruction-following.txt","structured-output-format","Output contains no markdown code fences, no prose before the JSON, and no text after the closing `}`","claude/haiku","claude","haiku",false,"The output is wrapped in markdown code fences (```json ... ```) before and after the JSON, violating the criterion."
