eval_name,template_path,case_id,criterion,model_label,provider,model,pass,reason,duration_ms
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","ambiguous-goal","Response explicitly states at least one assumption about what 'step execution bug' means — e.g. which step type (claude, script, log), which failure mode, or what symptom is being observed — before proposing an investigation or fix","claude/opus","claude","opus",true,"In the ""What's unclear / assumptions"" section, the response explicitly states: ""Assumption: it's in the headline feature of this branch (pluggable-coding-agent) — the prompt-step provider dispatch — since that's the new step-execution path,"" identifying the step type (prompt steps with opencode provider) and failure mode before laying out the fix.",344275
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","ambiguous-goal","Response does not jump directly into writing code or a fix without first identifying what is unclear about the bug report","claude/opus","claude","opus",true,"The response explicitly calls out under ""What's unclear / assumptions"" that ""The step execution bug is unspecified"" and no tests fail, stating explicit assumptions about which area to investigate before proposing any code changes.",344275
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","knowledge-acquisition","Response mentions reading documentation, inspecting existing code, inspecting the API or service architecture, or understanding current request-handling patterns before implementing","claude/opus","claude","opus",true,"The response explicitly states it inspected the repo before planning, describes checking package.json for dependencies, running a repo-wide grep for HTTP server patterns (.listen, createServer, app.get/post/use), and reading src/model-server.ts to understand the architecture — all before any implementation discussion.",103650
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","knowledge-acquisition","Response identifies at least one unknown or risk — such as existing middleware ordering, service boundaries, or SDK compatibility — before proposing an implementation","claude/opus","claude","opus",true,"The response explicitly lists multiple unknowns and risks before any implementation plan, including: existing logging/correlation-ID conventions to avoid duplication, the HTTP entry point and middleware chain (ordering), how downstream service calls are made (fetch/axios/grpc/child_process) for context propagation, the runtime/deploy target (Node version, OTLP collector endpoint), and whether a graceful-shutdown hook exists to flush the span exporter.",103650
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","complex-decomposition","Response identifies at least 4 distinct implementation slices or phases — such as cart, payment, order, notifications, inventory — rather than treating this as a single task","claude/opus","claude","opus",true,"The output explicitly lists 7 distinct implementation slices: domain model/store, cart management, inventory reservation, Stripe payment, order confirmation, transactional email, and real-time inventory push — well exceeding the 4-slice threshold.",98576
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","complex-decomposition","Response orders the slices by dependency or risk — e.g. payment processing before notifications — rather than listing them arbitrarily","claude/opus","claude","opus",true,"The response explicitly labels the ordering as ""riskiest first,"" marks slices 3 and 4 as ""(riskiest),"" places the domain model as the foundational dependency first, and puts Stripe payment (slice 4) before order confirmation (slice 5) and transactional email (slice 6) — matching the criterion's example of payment before notifications.",98576
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","implementation-verification","Response explicitly commits to writing a failing test before writing implementation code — using language like 'write a failing test first', 'start with a test', or 'test first' — or describes each implementation slice as starting with a test rather than ending with one","claude/opus","claude","opus",false,"The response mentions ""the new test failing first if I temporarily stub the timeout"" only as a parenthetical note within the verification sequence, not as an explicit commitment to write a failing test before implementation; it frames adding tests as a post-hoc hardening step on already-existing code rather than using language like ""write a failing test first"", ""start with a test"", or ""test first"".",120855
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","implementation-verification","Response names lint, typecheck, test, and build as four distinct verification steps — either listed individually or explicitly stated as what a command like 'npm test' runs — rather than just saying 'run tests' with no further detail","claude/opus","claude","opus",true,"The output explicitly names all four verification steps as distinct items: ""lint → typecheck → test → build"" in the Verification section.",120855
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","ambiguous-goal","Response explicitly states at least one assumption about what 'step execution bug' means — e.g. which step type (claude, script, log), which failure mode, or what symptom is being observed — before proposing an investigation or fix","claude/sonnet","claude","sonnet",false,"The response states only a generic meta-assumption (""There's a concrete bug visible in the current codebase — failing tests, thrown errors, or broken logic — rather than a vague design issue""), which applies to any bug and does not specify which step type (claude, script, log), which failure mode specific to step execution, or what concrete symptom is expected before investigation begins.",693132
"development-methodology","/Users/coston/code/executant/src/prompts/dev-approach.txt","ambiguous-goal","Response does not jump directly into writing code or a fix without first identifying what is unclear about the bug report","claude/sonnet","claude","sonnet",true,"The response explicitly opens with ""What's unclear: The user said 'step execution bug' without specifying which bug"" and describes an inspection plan before touching any code or writing any fixes.",693132
