eval_name,template_path,case_id,criterion,model_label,provider,model,pass,reason,duration_ms
"methodology-context-sensitivity","/Users/coston/code/executant/src/prompts/dev-approach.txt","tests-first-explicit","Response explicitly states that a failing test will be written before the cache implementation — using language like 'write a failing test first', 'start with the test', or 'test first'","claude/opus","claude","opus",true,"The output explicitly states ""Write the failing test first"" twice in the slicing section — once for Slice 1 and once for Slice 2 — and also notes ""The test for each slice exists and fails before its implementation is written.""",72872
"methodology-context-sensitivity","/Users/coston/code/executant/src/prompts/dev-approach.txt","tests-first-explicit","Response identifies at least one specific test case to write before implementing — e.g., a cache hit should not call the database, or TTL eviction should return a fresh result after expiry","claude/opus","claude","opus",true,"The output explicitly identifies two specific test cases to write before implementing: (1) a cache miss calls `db.findUserById` exactly once and returns its value, and a subsequent hit returns the cached value without calling the DB (verified via call count on a mock); and (2) after the TTL elapses, the next call re-queries the DB and returns a fresh value using an injected clock.",72872
"methodology-context-sensitivity","/Users/coston/code/executant/src/prompts/dev-approach.txt","tests-first-explicit","Response does NOT describe writing the implementation first and tests afterward","claude/opus","claude","opus",true,"The response explicitly describes a tests-first approach (""Write the failing test first"" for each slice, noting ""The test for each slice exists and fails before its implementation is written""), never suggesting implementation should precede tests.",72872
"methodology-context-sensitivity","/Users/coston/code/executant/src/prompts/dev-approach.txt","tests-first-explicit","Response names at least two of the four verification steps: lint, typecheck, test, build","claude/opus","claude","opus",true,"The output explicitly names all four verification steps — ""lint → typecheck → test → build"" — in the ""How I'd verify"" section.",72872
"methodology-context-sensitivity","/Users/coston/code/executant/src/prompts/dev-approach.txt","verification-sequence","Response names all four verification steps — lint, typecheck, test, and build — either individually or as an explicit sequence","claude/opus","claude","opus",true,"Section 4 explicitly lists all four steps in sequence: ""lint → typecheck → test → build"", satisfying the criterion fully.",72496
"methodology-context-sensitivity","/Users/coston/code/executant/src/prompts/dev-approach.txt","verification-sequence","Response explicitly states the verification sequence runs AFTER the refactor is complete, not just at end of a larger project","claude/opus","claude","opus",false,"The response says verification runs ""after each change"" (incremental, during the refactor process) rather than explicitly stating the full verification sequence runs after the refactor is complete as a distinct phase — it never uses language like ""once the refactor is done, run the full suite.""",72496
"methodology-context-sensitivity","/Users/coston/code/executant/src/prompts/dev-approach.txt","verification-sequence","Response identifies the refactor as behavior-preserving and notes that existing tests should pass unchanged without modification","claude/opus","claude","opus",true,"The response explicitly calls the refactor ""behavior-preserving"" and states ""The characterization tests are the real proof — they must pass *unchanged* before and after, since the contract is 'identical behavior.'"" — directly satisfying both parts of the criterion.",72496
"methodology-context-sensitivity","/Users/coston/code/executant/src/prompts/dev-approach.txt","verification-sequence","Response does NOT propose deleting or rewriting existing tests — the existing test suite is the primary correctness signal for a refactor","claude/opus","claude","opus",true,"The response explicitly treats existing tests as the behavioral spec and states they ""must pass *unchanged* before and after,"" with no proposal to delete or rewrite them — it only suggests adding characterization tests if none exist.",72496
"methodology-context-sensitivity","/Users/coston/code/executant/src/prompts/dev-approach.txt","slice-ordering","Response identifies at least 4 distinct implementation slices — e.g., upload endpoint, file validation, S3 storage, database persistence, thumbnail generation, authentication middleware","claude/opus","claude","opus",true,"The response explicitly identifies 6 distinct implementation slices: (1) validation core with magic-byte checking, (2) thumbnail transform via sharp, (3) storage adapter for S3, (4) persistence/DB layer for saving URL to user record, (5) endpoint wiring with auth, and (6) failure modes and cleanup — satisfying the requirement of at least 4 distinct slices.",86593
"methodology-context-sensitivity","/Users/coston/code/executant/src/prompts/dev-approach.txt","slice-ordering","Response orders slices by dependency — storage and validation are mentioned before thumbnail generation; authentication before the endpoint is callable","claude/opus","claude","opus",false,"Storage (slice 3) is ordered after thumbnail generation (slice 2), violating the criterion's requirement that storage be mentioned before thumbnail; validation (slice 1) correctly precedes thumbnail, but the storage ordering fails the criterion.",86593
